以a为开头的单词总共有：1107个
art                 : 73
answer              : 42
agree               : 33
argument            : 31
adeimantus          : 27
age                 : 24
arts                : 23
admitted            : 17
allowed             : 15
action              : 14
appears             : 14
advantage           : 13
assuredly           : 13
actions             : 12
attempt             : 11
admit               : 10
asclepius           : 10
agreed              : 9
answered            : 9
assume              : 9
absolutely          : 8
acknowledge         : 8
add                 : 8
afraid              : 8
assigned            : 8
advantages          : 7
affirm              : 7
amid                : 7
angry               : 7
auxiliaries         : 7
accomplished        : 6
account             : 6
acknowledged        : 6
acquire             : 6
acquired            : 6
anger               : 6
apollo              : 6
appearance          : 6
appeared            : 6
approve             : 6
argue               : 6
assent              : 6
athletes            : 6
attributed          : 6
acting              : 5
agamemnon           : 5
ago                 : 5
alike               : 5
animals             : 5
answering           : 5
apply               : 5
appointed           : 5
army                : 5
arrived             : 5
artisan             : 5
artisans            : 5
artists             : 5
avoid               : 5
achilles            : 4
advantageous        : 4
aeschylus           : 4
affirmed            : 4
aged                : 4
aim                 : 4
animal              : 4
answers             : 4
appearances         : 4
arms                : 4
artist              : 4
assumed             : 4
attend              : 4
author              : 4
authority           : 4
absence             : 3
achaeans            : 3
acquaintance        : 3
acquisition         : 3
actors              : 3
acts                : 3
addition            : 3
admixture           : 3
adopt               : 3
advises             : 3
affinity            : 3
agreement           : 3
altogether          : 3
amount              : 3
application         : 3
applied             : 3
arises              : 3
ariston             : 3
arose               : 3
ashamed             : 3
attention           : 3
aware               : 3
axis                : 3
abiding             : 2
abominable          : 2
abroad              : 2
abusing             : 2
accompanied         : 2
accompany           : 2
accords             : 2
accuracy            : 2
accurate            : 2
acorns              : 2
acquaintances       : 2
acquitted           : 2
acted               : 2
adapted             : 2
adequately          : 2
administration      : 2
admire              : 2
admired             : 2
admissions          : 2
admitting           : 2
admonition          : 2
adversary           : 2
affect              : 2
affection           : 2
agreeable           : 2
agreements          : 2
airs                : 2
akin                : 2
alas                : 2
allegorical         : 2
allied              : 2
allies              : 2
ally                : 2
altar               : 2
altered             : 2
amusement           : 2
amusements          : 2
amusing             : 2
ancestor            : 2
ancestral           : 2
ancient             : 2
anxiety             : 2
anxious             : 2
appeal              : 2
apprehend           : 2
approach            : 2
approved            : 2
apt                 : 2
architecture        : 2
argos               : 2
arguing             : 2
arithmetician       : 2
armed               : 2
arouse              : 2
arranged            : 2
arrive              : 2
artificers          : 2
aspiration          : 2
assented            : 2
assign              : 2
assist              : 2
assuming            : 2
assumption          : 2
astonished          : 2
athenian            : 2
attacks             : 2
attained            : 2
attempts            : 2
attraction          : 2
attribute           : 2
authorities         : 2
authors             : 2
auxiliary           : 2
avail               : 2
avarice             : 2
avaricious          : 2
avoided             : 2
awaits              : 2
abhor               : 1
abhorrence          : 1
abide               : 1
abler               : 1
abode               : 1
absolute            : 1
abstain             : 1
abstained           : 1
abstracted          : 1
absurd              : 1
absurdity           : 1
abundance           : 1
abundantly          : 1
accent              : 1
accept              : 1
acceptance          : 1
accommodate         : 1
accomplish          : 1
accomplishing       : 1
accord              : 1
accounted           : 1
accruing            : 1
accumulating        : 1
accumulation        : 1
accusations         : 1
accuse              : 1
accustomed          : 1
achieved            : 1
acknowledges        : 1
acknowledging       : 1
acquainted          : 1
acquiesced          : 1
acquiescing         : 1
active              : 1
acute               : 1
adapt               : 1
adding              : 1
additional          : 1
address             : 1
adequate            : 1
adhere              : 1
adjusted            : 1
adjusts             : 1
admirable           : 1
admiration          : 1
admirer             : 1
admirers            : 1
admission           : 1
ado                 : 1
adultery            : 1
advise              : 1
advocate            : 1
affair              : 1
affairs             : 1
affections          : 1
affirms             : 1
affliction          : 1
afford              : 1
affords             : 1
agent               : 1
ages                : 1
aglaion             : 1
agora               : 1
agreeably           : 1
agreeing            : 1
